question,sql
查詢包含破片的所有根本原因描述,"SELECT OID, D4_ROOTCAUSE FROM 8DREPORT WHERE D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
尋找資料欄位裡跟破片相關的問題,"SELECT OID, HDNUNUSUALTYPENAME, D1_DEPT, D1_NAME, D1_TITLE, D2_DEVICENAME, D2_LOTNO, D2_LOTQTY, 
                  D2_PACKAGETYPE, D2_QTY, D3_ACTION, D3_DEPT, D3_OWNER, D4_DESC, D4_ROOTCAUSE 
                  FROM 8DREPORT WHERE HDNUNUSUALTYPENAME LIKE '%破片%' OR D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
統計破片相關問題的批次數量,"SELECT D2_LOTNO, COUNT(*) AS batch_count FROM 8DREPORT WHERE D4_DESC LIKE '%破片%' 
                  GROUP BY D2_LOTNO ORDER BY batch_count DESC;"
查詢破片問題的負責部門及執行狀態,"SELECT OID, D1_DEPT, D5_ACTION, D5_DUEDATE, D5_FINISHDATE FROM 8DREPORT 
                  WHERE D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
列出破片問題的設備名稱及批次資訊,"SELECT D2_DEVICENAME, D2_LOTNO, D2_LOTQTY FROM 8DREPORT 
                  WHERE D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
查詢涉及破片的未完成改善計畫,"SELECT OID, D5_ACTION, D5_DUEDATE FROM 8DREPORT 
                  WHERE D4_DESC LIKE '%破片%' AND D5_FINISHDATE IS NULL;"
查詢破片相關問題的責任人及其對應行動,"SELECT OID, D5_OWNER, D5_ACTION FROM 8DREPORT 
                  WHERE D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
查詢破片問題的異常類型分佈,"SELECT HDNUNUSUALTYPENAME, COUNT(*) AS issue_count FROM 8DREPORT 
                  WHERE HDNUNUSUALTYPENAME LIKE '%破片%' GROUP BY HDNUNUSUALTYPENAME;"
查詢破片問題的發生時間分佈,"SELECT D2_WHEN, COUNT(*) AS occurrence_count FROM 8DREPORT 
                  WHERE D4_DESC LIKE '%破片%' GROUP BY D2_WHEN ORDER BY occurrence_count DESC;"
分析破片問題的地點及原因分佈,"SELECT D2_WHERE, D4_ROOTCAUSE, COUNT(*) AS occurrence_count FROM 8DREPORT 
                  WHERE D4_DESC LIKE '%破片%' GROUP BY D2_WHERE, D4_ROOTCAUSE;"
