question,sql
尋找資料欄位裡跟溫度相關的問題,"SELECT * FROM Rootcauses
                  WHERE D4_ROOTCAUSE LIKE '%溫度%' OR
                        D4_DESC LIKE '%溫度%' OR
                        D4_ROOTCAUSEESC LIKE '%溫度%' OR
                        D4_WHY1ESC LIKE '%溫度%' OR
                        D4_WHY2ESC LIKE '%溫度%' OR
                        D4_WHY3ESC LIKE '%溫度%' OR
                        D4_WHY4ESC LIKE '%溫度%' OR
                        D4_WHY5ESC LIKE '%溫度%';"
統計每種根本原因類型的案件數,"SELECT D4_ROOTTYPE, COUNT(*) AS CaseCount FROM Rootcauses GROUP BY D4_ROOTTYPE;"
查找已完成且與環境相關的根本原因,"SELECT * FROM Rootcauses
                  WHERE D4_ROOTCAUSE LIKE '%環境%' OR
                        D4_DESC LIKE '%環境%' OR
                        D4_ROOTCAUSEESC LIKE '%環境%' OR
                        D4_WHY1ESC LIKE '%環境%' OR
                        D4_WHY2ESC LIKE '%環境%' OR
                        D4_WHY3ESC LIKE '%環境%' OR
                        D4_WHY4ESC LIKE '%環境%' OR
                        D4_WHY5ESC LIKE '%環境%';"
查詢每種原因的平均發生次數,"SELECT D4_ROOTCAUSE, COUNT(*) AS OccurrenceCount 
                  FROM Rootcauses GROUP BY D4_ROOTCAUSE;"
查看操作員人數不足的所有案件,"SELECT * FROM Rootcauses
                  WHERE D4_DESC LIKE '%操作員人數不足%' OR
                        D4_ROOTCAUSEESC LIKE '%操作員人數不足%';"
查詢需要多次確認的根本原因,"SELECT * FROM Rootcauses
                  WHERE D4_DESC LIKE '%確認%' AND
                        (D4_WHY1ESC LIKE '%確認%' OR
                         D4_WHY2ESC LIKE '%確認%' OR
                         D4_WHY3ESC LIKE '%確認%' OR
                         D4_WHY4ESC LIKE '%確認%' OR
                         D4_WHY5ESC LIKE '%確認%');"
查詢有多重根本原因的案件,"SELECT * FROM Rootcauses WHERE D4_ROOTCAUSE LIKE '%,%' OR D4_ROOTCAUSEESC LIKE '%,%';"
尋找資料欄位裡跟溫度相關的問題,"SELECT * FROM Rootcauses
                  WHERE D4_ROOTCAUSE LIKE '%溫度%' OR
                        D4_DESC LIKE '%溫度%' OR
                        D4_ROOTCAUSEESC LIKE '%溫度%' OR
                        D4_WHY1ESC LIKE '%溫度%' OR
                        D4_WHY2ESC LIKE '%溫度%' OR
                        D4_WHY3ESC LIKE '%溫度%' OR
                        D4_WHY4ESC LIKE '%溫度%' OR
                        D4_WHY5ESC LIKE '%溫度%';"
找出每位負責人負責的案件數,"SELECT D4_TRAINER, COUNT(*) AS CaseCount FROM Rootcauses GROUP BY D4_TRAINER;"
篩選所有在2023年記錄的根本原因分析,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%2023%' OR D4_WHY1ESC LIKE '%2023%' OR D4_WHY2ESC LIKE '%2023%' OR D4_WHY3ESC LIKE '%2023%' OR D4_WHY4ESC LIKE '%2023%' OR D4_WHY5ESC LIKE '%2023%';
找出所有由特定人員（例如 '1110724_張瑋芩'）負責的案件,SELECT * FROM Rootcauses WHERE D4_TRAINER = '1110724_張瑋芩';
篩選出包含'溫度'的所有問題描述,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%溫度%' OR D4_WHY1ESC LIKE '%溫度%' OR D4_WHY2ESC LIKE '%溫度%' OR D4_WHY3ESC LIKE '%溫度%' OR D4_WHY4ESC LIKE '%溫度%' OR D4_WHY5ESC LIKE '%溫度%';
計算每位負責人的案件數量,"SELECT D4_TRAINER, COUNT(*) AS CaseCount FROM Rootcauses GROUP BY D4_TRAINER;"
查找所有包含特定關鍵字（例如 'IC'）的根本原因,SELECT * FROM Rootcauses WHERE D4_ROOTCAUSE LIKE '%IC%' OR D4_WHY1ESC LIKE '%IC%' OR D4_WHY2ESC LIKE '%IC%' OR D4_WHY3ESC LIKE '%IC%' OR D4_WHY4ESC LIKE '%IC%' OR D4_WHY5ESC LIKE '%IC%';
篩選所有涉及'人員'的根本原因描述,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%人員%' OR D4_ROOTCAUSE LIKE '%人員%' OR D4_WHY1ESC LIKE '%人員%' OR D4_WHY2ESC LIKE '%人員%' OR D4_WHY3ESC LIKE '%人員%' OR D4_WHY4ESC LIKE '%人員%' OR D4_WHY5ESC LIKE '%人員%';
取得所有包含 'wafer' 受損的描述紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%wafer%';
計算包含 'wafer' 的紀錄數量,SELECT COUNT(*) FROM Rootcauses WHERE D4_DESC LIKE '%wafer%';
查詢所有 'wafer' 受損且有根本原因的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%wafer%' AND D4_ROOTCAUSE IS NOT NULL;
按負責人統計包含 'wafer' 受損的紀錄數量,"SELECT D4_TRAINER, COUNT(*) AS wafer_issue_count FROM Rootcauses WHERE D4_DESC LIKE '%wafer%' GROUP BY D4_TRAINER"
查詢包含 'wafer' 受損且 'D4_WHY1ESC' 有值的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%wafer%' AND D4_WHY1ESC IS NOT NULL;
取得根本原因類型為 '機' 且包含 'wafer' 的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%wafer%' AND D4_ROOTTYPE = '機';
