question,sql
列出各個封裝類型 (D2_PACKAGETYPE) 的數量,"SELECT OID, D2_PACKAGETYPE, COUNT(*) FROM REPORT GROUP BY D2_PACKAGETYPE"
請列出包含D1、D2、D3的所有欄位,"SELECT OID, D1_DEPT, D1_NAME, D1_TITLE, D2_DEVICENAME, D2_LOTNO, D2_LOTQTY, D2_PACKAGETYPE, D2_QTY, D2_QTY_P, D2_RUNCARD, D2_UNUSUALTYPE, D2_WHAT, D2_WHEN, D2_WHERE, D2_WHO, D3_ACTION, D3_DEPT, D3_DUEDATE, D3_FINISHDATE, D3_HDNCREATOR, D3_ITEM, D3_OWNER FROM REPORT WHERE OID IS NOT NULL"
查找資料欄位中所有包含破片的資料,"SELECT OID, D1_DEPT, D1_NAME, D1_TITLE, D2_DEVICENAME, D2_LOTNO, D2_LOTQTY, D2_PACKAGETYPE, D2_QTY, D2_QTY_P, D2_RUNCARD, D2_UNUSUALTYPE, D2_WHAT, D2_WHEN, D2_WHERE, D2_WHO, D3_ACTION, D3_DEPT, D3_DUEDATE, D3_FINISHDATE, D3_HDNCREATOR, D3_ITEM, D3_OWNER, D4_DESC, D4_ROOTCAUSE, D4_ROOTCAUSEESC, D4_ROOTTYPE, D4_TRAINER, D5_ACTION, D5_DEPT, D5_DUEDATE, D5_FINISHDATE, D5_HDNCREATOR, D5_ITEM, D5_OWNER FROM REPORT WHERE D1_DEPT LIKE '%破片%' OR D1_NAME LIKE '%破片%' OR D1_TITLE LIKE '%破片%' OR D2_DEVICENAME LIKE '%破片%' OR D2_LOTNO LIKE '%破片%' OR D2_PACKAGETYPE LIKE '%破片%' OR D2_WHAT LIKE '%破片%' OR D2_WHEN LIKE '%破片%' OR D2_WHERE LIKE '%破片%' OR D2_WHO LIKE '%破片%' OR D3_ACTION LIKE '%破片%' OR D3_DEPT LIKE '%破片%' OR D3_OWNER LIKE '%破片%' OR D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%' OR D4_ROOTCAUSEESC LIKE '%破片%' OR D4_ROOTTYPE LIKE '%破片%' OR D4_TRAINER LIKE '%破片%' OR D5_ACTION LIKE '%破片%' OR D5_DEPT LIKE '%破片%' OR D5_OWNER LIKE '%破片%'"
尋找資料欄位裡跟溫度相關的問題,"SELECT OID, D1_DEPT, D1_NAME, D1_TITLE, D2_DEVICENAME, D2_LOTNO, D2_LOTQTY, D2_PACKAGETYPE, D2_QTY, D2_QTY_P, D2_RUNCARD, D2_UNUSUALTYPE, D2_WHAT, D2_WHEN, D2_WHERE, D2_WHO, D3_ACTION, D3_DEPT, D3_DUEDATE, D3_FINISHDATE, D3_HDNCREATOR, D3_ITEM, D3_OWNER, D4_DESC, D4_ROOTCAUSE, D4_ROOTCAUSEESC, D4_ROOTTYPE, D4_TRAINER, D5_ACTION, D5_DEPT, D5_DUEDATE, D5_FINISHDATE, D5_HDNCREATOR, D5_ITEM, D5_OWNER FROM REPORT WHERE D1_DEPT LIKE '%溫度%' OR D1_NAME LIKE '%溫度%' OR D1_TITLE LIKE '%溫度%' OR D2_DEVICENAME LIKE '%溫度%' OR D2_LOTNO LIKE '%溫度%' OR D2_PACKAGETYPE LIKE '%溫度%' OR D2_WHAT LIKE '%溫度%' OR D2_WHEN LIKE '%溫度%' OR D2_WHERE LIKE '%溫度%' OR D2_WHO LIKE '%溫度%' OR D3_ACTION LIKE '%溫度%' OR D3_DEPT LIKE '%溫度%' OR D3_OWNER LIKE '%溫度%' OR D4_DESC LIKE '%溫度%' OR D4_ROOTCAUSE LIKE '%溫度%' OR D4_ROOTCAUSEESC LIKE '%溫度%' OR D4_ROOTTYPE LIKE '%溫度%' OR D4_TRAINER LIKE '%溫度%' OR D5_ACTION LIKE '%溫度%' OR D5_DEPT LIKE '%溫度%' OR D5_OWNER LIKE '%溫度%'"
請呈現所有欄位,"SELECT OID, D1_DEPT, D1_NAME, D1_TITLE, D2_DEVICENAME, D2_LOTNO, D2_LOTQTY, D2_PACKAGETYPE, D2_QTY, D2_QTY_P, D2_RUNCARD, D2_UNUSUALTYPE, D2_WHAT, D2_WHEN, D2_WHERE, D2_WHO, D3_ACTION, D3_DEPT, D3_DUEDATE, D3_FINISHDATE, D3_HDNCREATOR, D3_ITEM, D3_OWNER, D4_DESC, D4_NA, D4_ROOTCAUSE, D4_ROOTCAUSEESC, D4_ROOTTYPE, D4_TRAINER, D4_WHY1ESC, D4_WHY1OCC, D4_WHY2ESC, D4_WHY2OCC, D4_WHY3ESC, D4_WHY3OCC, D4_WHY4ESC, D4_WHY4OCC, D4_WHY5ESC, D4_WHY5OCC, D5_ACTION, D5_DEPT, D5_DUEDATE, D5_FINISHDATE, D5_HDNCREATOR, D5_ITEM, D5_OWNER FROM REPORT"
取得所有D1_NAME 的紀錄,"SELECT OID, D1_NAME FROM REPORT"
取得所有D1_TITLE 的紀錄,"SELECT OID, D1_TITLE FROM REPORT"
取得所有D1_DEPT 的紀錄,"SELECT OID, D1_DEPT FROM REPORT"
取得所有D3_ITEM 的紀錄,"SELECT OID, D3_ITEM FROM REPORT"
取得所有D4_WHY3ESC 的紀錄,"SELECT OID, D4_WHY3ESC FROM REPORT"
